0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.996,0.147,1.0,-0.18899999999999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.882,1.0,0.39,-0.8109999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.715,1.0,0.028999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.888,-0.912,-1.0,-1.0,-1.0,-0.5489999999999999,1.0,0.361,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.938,0.6940000000000001,0.057,-1.0,-1.0,-1.0,-0.382,1.0,0.511,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.311,1.0,-0.043,-1.0,-1.0,-1.0,-0.648,1.0,0.644,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.489,1.0,-0.493,-1.0,-1.0,-1.0,-0.564,1.0,0.693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.966,0.988,1.0,-0.893,-1.0,-1.0,-1.0,-0.397,1.0,0.903,-0.977,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5589999999999999,1.0,1.0,-0.297,-1.0,-1.0,-1.0,-0.611,1.0,0.873,-0.698,-0.552,-1.0,-1.0,-1.0,-1.0,-0.126,1.0,1.0,0.7659999999999999,-0.764,-1.0,-1.0,-0.5770000000000001,1.0,0.9329999999999999,0.484,-0.19699999999999998,-1.0,-1.0,-1.0,-1.0,-0.818,-0.355,0.33399999999999996,1.0,0.868,-0.289,-0.677,-0.596,1.0,1.0,1.0,-0.581,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9540000000000001,0.11800000000000001,1.0,1.0,1.0,1.0,1.0,0.973,-0.092,-0.995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.993,-0.46399999999999997,0.046,0.29,0.457,1.0,0.721,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.426,1.0,0.555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.024,1.0,0.38799999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.109,1.0,-0.179,-1.0,-1.0,-1.0,-1.0,4.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.51,-0.213,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.292,0.792,-0.987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.56,0.975,-0.873,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.745,0.9990000000000001,-0.748,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.596,1.0,-0.601,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7140000000000001,1.0,-0.585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.998,0.7140000000000001,1.0,-0.45399999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.997,0.7979999999999999,1.0,-0.5379999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.402,1.0,-0.39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.354,1.0,-0.142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.222,1.0,-0.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.34,1.0,-0.21100000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.242,1.0,-0.113,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9670000000000001,0.594,1.0,-0.431,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.14,1.0,0.9890000000000001,-0.705,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.654,0.6659999999999999,0.301,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.909,0.8009999999999999,-0.899,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.405,1.0,-0.396,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.07200000000000001,1.0,-0.46799999999999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.057,1.0,-0.623,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.28800000000000003,1.0,-0.6829999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.253,1.0,-0.647,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,1.0,-0.593,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32799999999999996,0.997,-0.7709999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6609999999999999,1.0,-0.706,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.752,0.991,-0.8270000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.59,0.8959999999999999,-0.963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.22399999999999998,0.9440000000000001,-0.887,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.109,1.0,-0.285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.754,-0.7390000000000001,0.993,0.157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.135,0.763,0.968,0.42100000000000004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.332,0.735,0.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.998,0.613,-0.385,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.72,0.992,0.084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8490000000000001,0.9940000000000001,0.603,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.951,0.9420000000000001,0.889,-0.971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9990000000000001,0.794,0.987,-0.828,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.628,1.0,-0.6859999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.706,1.0,-0.622,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.642,0.992,-0.777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7759999999999999,0.99,-0.818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.966,0.9059999999999999,0.9540000000000001,-0.889,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.875,0.9840000000000001,0.858,-0.985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.848,0.995,0.7240000000000001,-0.991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.735,0.9990000000000001,0.843,-0.995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7959999999999999,0.996,0.731,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,0.973,0.6759999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.968,0.192,0.159,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.457,-0.21899999999999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.706,0.255,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7559999999999999,0.557,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.584,0.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.46399999999999997,0.8340000000000001,-0.996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.494,0.907,-0.986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.529,0.883,-0.993,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.45399999999999996,0.973,-0.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.614,0.8490000000000001,-0.987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.644,0.775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9990000000000001,0.7390000000000001,0.728,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.992,0.8909999999999999,0.479,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8759999999999999,1.0,0.319,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.976,0.9440000000000001,0.281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.986,0.846,0.815,-0.9440000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.086,0.804,-0.953,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-0.733,-0.9159999999999999,-1.0,-1.0,-1.0,-0.674,0.988,-0.179,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.685,0.332,-1.0,-1.0,-1.0,-0.08199999999999999,1.0,-0.091,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.981,0.7190000000000001,0.6729999999999999,-0.9990000000000001,-1.0,-1.0,0.607,1.0,-0.484,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.35700000000000004,1.0,0.17800000000000002,-1.0,-1.0,-0.845,0.9690000000000001,0.8540000000000001,-0.909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.823,0.863,0.9,-0.6829999999999999,-0.993,-1.0,-0.273,1.0,0.342,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.08800000000000001,1.0,1.0,1.0,0.732,0.44799999999999995,0.752,1.0,0.506,0.195,0.534,-0.44799999999999995,-1.0,-1.0,-1.0,-1.0,-0.99,-0.25,0.299,0.34,0.778,1.0,1.0,1.0,1.0,0.754,0.441,-0.624,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9740000000000001,0.223,1.0,0.225,-0.87,-0.978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.982,0.726,0.9359999999999999,-0.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5660000000000001,1.0,0.39299999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.039,1.0,-0.21600000000000003,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.14800000000000002,1.0,-0.527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.171,1.0,-0.639,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.19399999999999998,1.0,-0.547,-0.256,-0.885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.303,1.0,0.8059999999999999,0.87,-0.8959999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8490000000000001,0.745,0.9359999999999999,-0.396,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.254,0.24100000000000002,-0.929,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9890000000000001,0.684,1.0,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.987,0.84,1.0,0.856,-0.878,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.769,0.95,1.0,1.0,-0.212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5479999999999999,1.0,0.9890000000000001,-0.278,0.29100000000000004,-0.986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.424,1.0,0.7879999999999999,-0.995,-0.20199999999999999,-0.541,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.221,1.0,0.8109999999999999,-0.987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.303,1.0,0.6779999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5660000000000001,1.0,0.83,-0.997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.648,1.0,0.898,-0.983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.762,0.992,0.9620000000000001,-0.8740000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.935,0.89,1.0,-0.649,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.652,1.0,-0.11800000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15,1.0,0.361,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.77,0.8370000000000001,0.54,-0.995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.39899999999999997,0.077,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.937,0.802,-0.284,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,0.9990000000000001,0.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.723,-0.529,0.917,0.451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8009999999999999,0.861,0.091,0.7859999999999999,0.583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.278,1.0,-0.348,0.654,0.7140000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.856,0.83,0.888,-0.797,0.978,0.7859999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14300000000000002,1.0,0.191,-0.8759999999999999,0.977,0.415,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.447,0.996,0.884,-0.705,-0.5379999999999999,1.0,0.153,-1.0,-0.7170000000000001,-0.653,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.067,1.0,0.9670000000000001,0.7190000000000001,0.526,1.0,0.366,-0.04,0.861,0.114,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8440000000000001,0.319,0.845,1.0,1.0,1.0,1.0,1.0,0.466,-0.934,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.884,-0.557,0.784,1.0,0.433,0.071,-0.885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.932,0.907,0.877,-0.9229999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.506,1.0,0.593,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.598,1.0,0.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7290000000000001,1.0,0.986,-0.785,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9229999999999999,0.589,0.741,-0.862,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.098,-0.191,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.583,-0.6940000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-0.617,0.968,-0.363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.071,0.644,-0.9990000000000001,-1.0,-1.0,-1.0,-1.0,0.331,0.956,-0.8690000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-0.998,0.375,0.77,-0.9990000000000001,-1.0,-1.0,-1.0,-0.981,0.81,0.32299999999999995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.626,1.0,0.43,-1.0,-1.0,-1.0,-1.0,-0.6970000000000001,1.0,-0.321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.008,0.8759999999999999,-0.6829999999999999,-1.0,-1.0,-1.0,-1.0,-0.306,0.9640000000000001,-0.89,-1.0,-1.0,-1.0,-1.0,-1.0,-0.46399999999999997,0.922,-0.12,-1.0,-1.0,-1.0,-1.0,-1.0,0.379,0.7490000000000001,-0.993,-1.0,-1.0,-1.0,-1.0,-0.625,0.892,0.6509999999999999,-0.961,-1.0,-1.0,-1.0,-1.0,-0.9670000000000001,0.8109999999999999,0.29100000000000004,-1.0,-1.0,-1.0,-1.0,-1.0,0.62,1.0,0.8540000000000001,1.0,0.917,0.617,0.807,0.647,0.623,0.998,0.818,0.617,0.617,0.415,0.556,0.25,-0.45399999999999996,-0.205,0.035,0.405,0.158,0.062,0.062,0.062,0.727,0.9890000000000001,0.251,0.444,0.444,0.444,0.298,0.091,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.946,0.7959999999999999,0.644,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.499,1.0,-0.033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.204,0.991,-0.7509999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.935,0.9109999999999999,0.29600000000000004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5579999999999999,0.9990000000000001,-0.42200000000000004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.902,0.217,-0.929,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.986,0.139,0.96,-0.833,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.657,-0.51,-1.0,-1.0,-1.0,-0.632,1.0,-0.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.647,0.877,0.608,-1.0,-1.0,-1.0,0.147,0.9940000000000001,-0.8340000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,0.905,0.474,-0.659,-1.0,-1.0,-0.9690000000000001,0.7659999999999999,0.905,-0.965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.605,0.738,-0.9279999999999999,-1.0,-1.0,-1.0,-0.3,1.0,0.474,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.838,0.987,0.562,-1.0,-1.0,-1.0,-1.0,0.257,1.0,-0.406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.845,0.996,0.56,-1.0,-1.0,-1.0,-0.878,0.978,0.9690000000000001,-0.895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9840000000000001,0.878,0.955,-0.708,-1.0,-1.0,-0.43200000000000005,1.0,0.6940000000000001,-0.7120000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.36200000000000004,1.0,0.716,-0.466,-1.0,0.031,1.0,0.9670000000000001,-0.628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7559999999999999,0.624,1.0,1.0,0.637,0.812,1.0,-0.071,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.853,0.16699999999999998,0.9009999999999999,1.0,1.0,0.993,-0.792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8740000000000001,-0.615,0.991,0.738,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.784,1.0,0.8959999999999999,-0.945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.94,0.879,1.0,0.807,-0.965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.622,1.0,0.506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.125,0.893,-0.563,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0
