"","x"
"1",4
"2",1
"3",0
"4",1
"5",0
"6",1
"7",1
"8",4
"9",0
"10",1
"11",4
"12",4
"13",4
"14",1
"15",4
"16",1
"17",4
"18",4
"19",4
"20",1
"21",4
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",1
"29",0
"30",0
"31",1
"32",4
"33",4
"34",1
"35",0
"36",0
"37",4
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",1
"45",0
"46",0
"47",1
"48",4
"49",1
"50",1
"51",0
"52",0
"53",0
"54",1
"55",0
"56",4
"57",4
"58",1
"59",4
"60",4
"61",4
"62",4
"63",4
"64",0
"65",0
"66",4
"67",1
"68",0
"69",1
"70",0
"71",1
"72",0
"73",0
"74",4
"75",0
"76",1
"77",1
"78",0
"79",4
"80",0
"81",1
"82",0
"83",0
"84",0
"85",1
"86",1
"87",0
"88",1
"89",4
"90",4
"91",1
"92",1
"93",0
"94",1
"95",1
"96",1
"97",0
"98",1
"99",1
"100",1
"101",0
"102",0
"103",0
"104",0
"105",1
"106",4
"107",0
"108",0
"109",0
"110",1
"111",0
"112",1
"113",0
"114",1
"115",0
"116",0
"117",4
"118",4
"119",4
"120",0
"121",4
"122",1
"123",1
"124",1
"125",0
"126",1
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",4
"134",1
"135",4
"136",1
"137",0
"138",1
"139",4
"140",0
"141",1
"142",0
"143",0
"144",0
"145",0
"146",1
"147",1
"148",0
"149",0
"150",1
"151",1
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",1
"159",0
"160",4
"161",4
"162",1
"163",1
"164",0
"165",0
"166",0
"167",4
"168",0
"169",1
"170",0
"171",0
"172",0
"173",1
"174",0
"175",1
"176",0
"177",1
"178",1
"179",0
"180",4
"181",1
"182",0
"183",0
"184",1
"185",0
"186",1
"187",0
"188",0
"189",0
"190",0
"191",1
"192",1
"193",1
"194",1
"195",0
"196",0
"197",1
"198",0
"199",0
"200",4
"201",1
"202",0
"203",1
"204",4
"205",1
"206",0
"207",0
"208",0
"209",1
"210",0
"211",4
"212",1
"213",1
"214",0
"215",0
"216",0
"217",0
"218",1
"219",1
"220",0
"221",4
"222",1
"223",1
"224",1
"225",1
"226",1
"227",0
"228",4
"229",0
"230",1
"231",4
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",4
"242",0
"243",0
"244",1
"245",0
"246",4
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",4
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",0
"261",0
"262",1
"263",0
"264",1
"265",0
"266",1
"267",1
"268",0
"269",0
"270",0
"271",0
"272",0
"273",1
"274",1
"275",0
"276",0
"277",4
"278",0
"279",4
"280",1
"281",0
"282",1
"283",0
"284",0
"285",1
"286",0
"287",1
"288",0
"289",0
"290",1
"291",4
"292",0
"293",1
"294",0
"295",0
"296",1
"297",0
"298",0
"299",1
"300",0
"301",1
"302",0
"303",0
"304",1
"305",4
"306",1
"307",0
"308",1
"309",4
"310",0
"311",0
"312",1
"313",0
"314",1
"315",0
"316",1
"317",0
"318",4
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",4
"332",4
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",1
"341",4
"342",0
"343",0
"344",0
"345",4
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",1
"360",0
"361",0
"362",0
"363",4
"364",1
"365",0
"366",0
"367",1
"368",0
"369",0
"370",0
"371",4
"372",0
"373",0
"374",1
"375",1
"376",0
"377",4
"378",0
"379",1
"380",0
"381",4
"382",1
"383",0
"384",1
"385",4
"386",0
"387",0
"388",1
"389",0
"390",4
"391",1
"392",0
"393",4
"394",1
"395",4
"396",0
"397",0
"398",4
"399",0
"400",0
"401",0
"402",0
"403",4
"404",0
"405",4
"406",0
"407",4
"408",4
"409",0
"410",4
"411",0
"412",0
"413",0
"414",0
"415",0
"416",1
"417",4
"418",4
"419",4
"420",0
"421",0
"422",0
"423",1
"424",1
"425",4
"426",0
"427",1
"428",1
"429",1
"430",1
"431",0
"432",1
"433",1
"434",1
"435",1
"436",4
"437",1
"438",1
"439",1
"440",1
"441",4
"442",1
"443",0
"444",0
"445",0
"446",4
"447",1
"448",4
